index,UF,CATEGORIA,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TOTAL,ANO,NOVA_CATEGORIA
588,PR,Pessoa física,135.0,188.0,161.0,241.0,226.0,221.0,265.0,175.0,118.0,256.0,238.0,224.0,2448.0,2012,
589,PR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,894.0,908.0,2012,
590,PR,Segurança Privada,168.0,22.0,32.0,33.0,125.0,317.0,34.0,454.0,34.0,21.0,35.0,127.0,1402.0,2012,
591,PR,Órgão Público,0.0,0.0,3.0,14.0,10.0,2.0,0.0,0.0,35.0,0.0,19.0,0.0,83.0,2012,
592,PR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
593,PR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
594,RJ,Pessoa física,98.0,77.0,145.0,140.0,261.0,149.0,170.0,182.0,177.0,143.0,193.0,123.0,1858.0,2012,
595,RJ,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
596,RJ,Segurança Privada,68.0,58.0,13.0,35.0,9.0,39.0,0.0,3.0,36.0,1.0,0.0,8.0,270.0,2012,
597,RJ,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
598,RJ,Loja de Arma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2012,
599,RJ,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,2012,
600,RN,Pessoa física,22.0,19.0,41.0,27.0,23.0,29.0,28.0,30.0,27.0,32.0,22.0,27.0,327.0,2012,
601,RN,Segurança Pública,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,109.0,2012,
602,RN,Segurança Privada,10.0,0.0,8.0,3.0,11.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,52.0,2012,
603,RN,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
604,RN,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
605,RN,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2012,
606,RO,Pessoa física,12.0,16.0,33.0,18.0,21.0,15.0,35.0,28.0,27.0,18.0,22.0,24.0,269.0,2012,
607,RO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,12.0,2012,
608,RO,Segurança Privada,0.0,0.0,0.0,0.0,15.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,42.0,2012,
609,RO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2012,
610,RO,Loja de Arma,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2012,
611,RO,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
612,RR,Pessoa física,1.0,5.0,2.0,3.0,0.0,0.0,5.0,2.0,1.0,3.0,2.0,7.0,31.0,2012,
613,RR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2012,
614,RR,Segurança Privada,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2012,
615,RR,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2012,
616,RR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
617,RR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
618,RS,Pessoa física,202.0,175.0,240.0,219.0,271.0,196.0,269.0,125.0,44.0,198.0,181.0,223.0,2343.0,2012,
619,RS,Segurança Pública,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,36.0,2012,
620,RS,Segurança Privada,16.0,15.0,1.0,45.0,23.0,27.0,38.0,0.0,4.0,10.0,34.0,32.0,245.0,2012,
621,RS,Órgão Público,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,2012,
622,RS,Loja de Arma,0.0,0.0,0.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2012,
623,RS,Outros Tipos,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2012,
624,SC,Pessoa física,128.0,113.0,235.0,198.0,226.0,237.0,269.0,170.0,100.0,228.0,317.0,325.0,2546.0,2012,
625,SC,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,500.0,15.0,50.0,0.0,0.0,81.0,646.0,2012,
626,SC,Segurança Privada,8.0,2.0,64.0,45.0,17.0,49.0,46.0,16.0,30.0,22.0,2.0,20.0,321.0,2012,
627,SC,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
628,SC,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
629,SC,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
630,SE,Pessoa física,8.0,9.0,17.0,3.0,17.0,12.0,18.0,18.0,16.0,7.0,9.0,2.0,136.0,2012,
631,SE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,2012,
632,SE,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2012,
633,SE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
634,SE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
635,SE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
636,SP,Pessoa física,36.0,42.0,111.0,135.0,112.0,122.0,104.0,108.0,35.0,153.0,170.0,166.0,1294.0,2012,
637,SP,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,33.0,2012,
638,SP,Segurança Privada,188.0,86.0,51.0,99.0,42.0,114.0,64.0,225.0,61.0,79.0,52.0,126.0,1187.0,2012,
639,SP,Órgão Público,0.0,44.0,67.0,14.0,0.0,40.0,50.0,34.0,33.0,18.0,66.0,112.0,478.0,2012,
640,SP,Loja de Arma,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2012,
641,SP,Outros Tipos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,5.0,12.0,27.0,2012,
642,TO,Pessoa física,3.0,9.0,9.0,5.0,5.0,2.0,2.0,0.0,5.0,6.0,1.0,1.0,48.0,2012,
643,TO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
644,TO,Segurança Privada,20.0,10.0,7.0,4.0,0.0,54.0,0.0,0.0,4.0,0.0,0.0,0.0,99.0,2012,
645,TO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
646,TO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
647,TO,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,
648,AC,Pessoa física,22.0,4.0,18.0,15.0,15.0,13.0,0.0,4.0,18.0,15.0,3.0,13.0,140.0,2013,
649,AC,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,2013,
650,AC,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2013,
651,AC,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,2013,
652,AC,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
653,AC,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
654,AL,Pessoa física,22.0,20.0,20.0,21.0,32.0,22.0,21.0,17.0,35.0,26.0,25.0,24.0,285.0,2013,
655,AL,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
656,AL,Segurança Privada,12.0,4.0,45.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,7.0,0.0,93.0,2013,
657,AL,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
658,AL,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
659,AL,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
660,AM,Pessoa física,71.0,39.0,62.0,80.0,89.0,42.0,28.0,43.0,72.0,35.0,20.0,69.0,650.0,2013,
661,AM,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
662,AM,Segurança Privada,41.0,2.0,94.0,0.0,5.0,48.0,10.0,34.0,0.0,0.0,0.0,7.0,241.0,2013,
663,AM,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
664,AM,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
665,AM,Outros Tipos,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2013,
666,AP,Pessoa física,4.0,3.0,6.0,10.0,14.0,13.0,5.0,11.0,9.0,17.0,4.0,3.0,99.0,2013,
667,AP,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.0,0.0,0.0,50.0,142.0,2013,
668,AP,Segurança Privada,0.0,0.0,0.0,0.0,7.0,30.0,0.0,17.0,4.0,0.0,0.0,0.0,58.0,2013,
669,AP,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
670,AP,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
671,AP,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
672,BA,Pessoa física,160.0,111.0,126.0,111.0,119.0,40.0,69.0,72.0,72.0,38.0,43.0,55.0,1016.0,2013,
673,BA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,6.0,206.0,2013,
674,BA,Segurança Privada,20.0,0.0,8.0,5.0,11.0,17.0,39.0,15.0,9.0,3.0,130.0,0.0,257.0,2013,
675,BA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
676,BA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
677,BA,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
678,CE,Pessoa física,14.0,16.0,20.0,32.0,30.0,23.0,77.0,24.0,49.0,19.0,58.0,55.0,417.0,2013,
679,CE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
680,CE,Segurança Privada,4.0,46.0,0.0,8.0,30.0,26.0,29.0,6.0,1.0,0.0,39.0,2.0,191.0,2013,
681,CE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
682,CE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
683,CE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
684,DF,Pessoa física,5.0,9.0,10.0,19.0,4.0,12.0,29.0,35.0,28.0,19.0,10.0,19.0,199.0,2013,
685,DF,Segurança Pública,0.0,0.0,199.0,0.0,0.0,1542.0,0.0,0.0,0.0,0.0,55.0,2094.0,3890.0,2013,
686,DF,Segurança Privada,0.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,16.0,2013,
687,DF,Órgão Público,0.0,77.0,0.0,0.0,0.0,0.0,20.0,0.0,131.0,0.0,0.0,0.0,228.0,2013,
688,DF,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
689,DF,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
690,ES,Pessoa física,69.0,44.0,94.0,83.0,51.0,42.0,36.0,20.0,11.0,9.0,4.0,11.0,474.0,2013,
691,ES,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
692,ES,Segurança Privada,24.0,37.0,0.0,2.0,10.0,30.0,22.0,46.0,22.0,44.0,98.0,12.0,347.0,2013,
693,ES,Órgão Público,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,80.0,2013,
694,ES,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
695,ES,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2013,
696,GO,Pessoa física,24.0,86.0,67.0,47.0,31.0,12.0,59.0,81.0,104.0,205.0,106.0,160.0,982.0,2013,
697,GO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
698,GO,Segurança Privada,8.0,0.0,0.0,0.0,14.0,17.0,10.0,0.0,10.0,0.0,10.0,0.0,69.0,2013,
699,GO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
700,GO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
701,GO,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2013,
702,MA,Pessoa física,2.0,2.0,10.0,3.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,4.0,44.0,2013,
703,MA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
704,MA,Segurança Privada,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2013,
705,MA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,2013,
706,MA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
707,MA,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
708,MG,Pessoa física,41.0,39.0,76.0,56.0,56.0,78.0,56.0,75.0,107.0,61.0,56.0,62.0,763.0,2013,
709,MG,Segurança Pública,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,115.0,246.0,2013,
710,MG,Segurança Privada,6.0,0.0,0.0,36.0,2.0,4.0,23.0,23.0,1.0,19.0,189.0,29.0,332.0,2013,
711,MG,Órgão Público,0.0,0.0,0.0,142.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,145.0,2013,
712,MG,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
713,MG,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2013,
714,MS,Pessoa física,18.0,32.0,28.0,21.0,35.0,19.0,20.0,48.0,20.0,27.0,49.0,62.0,379.0,2013,
715,MS,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
716,MS,Segurança Privada,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,1.0,0.0,21.0,2013,
717,MS,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
718,MS,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
719,MS,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
720,MT,Pessoa física,104.0,113.0,83.0,83.0,43.0,38.0,198.0,186.0,167.0,198.0,150.0,90.0,1453.0,2013,
721,MT,Segurança Pública,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2013,
722,MT,Segurança Privada,0.0,0.0,0.0,0.0,33.0,6.0,0.0,5.0,0.0,0.0,3.0,4.0,51.0,2013,
723,MT,Órgão Público,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2013,
724,MT,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2013,
725,MT,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
726,PA,Pessoa física,8.0,7.0,6.0,19.0,16.0,36.0,21.0,22.0,0.0,14.0,16.0,11.0,176.0,2013,
727,PA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,400.0,415.0,2013,
728,PA,Segurança Privada,9.0,18.0,0.0,10.0,41.0,19.0,5.0,19.0,0.0,0.0,0.0,10.0,131.0,2013,
729,PA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2013,
730,PA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
731,PA,Outros Tipos,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2013,
732,PB,Pessoa física,6.0,14.0,13.0,12.0,27.0,13.0,8.0,8.0,8.0,15.0,12.0,7.0,143.0,2013,
733,PB,Segurança Pública,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,2013,
734,PB,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,0.0,25.0,2013,
735,PB,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,2.0,0.0,0.0,0.0,208.0,2013,
736,PB,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
737,PB,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
738,PE,Pessoa física,8.0,14.0,25.0,24.0,27.0,42.0,39.0,48.0,25.0,30.0,25.0,21.0,328.0,2013,
739,PE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,2013,
740,PE,Segurança Privada,27.0,248.0,0.0,4.0,26.0,3.0,5.0,8.0,7.0,0.0,6.0,0.0,334.0,2013,
741,PE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
742,PE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
743,PE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
744,PI,Pessoa física,29.0,24.0,20.0,45.0,32.0,43.0,46.0,31.0,42.0,57.0,44.0,22.0,435.0,2013,
745,PI,Segurança Pública,0.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,2013,
746,PI,Segurança Privada,18.0,54.0,23.0,16.0,20.0,0.0,0.0,10.0,0.0,0.0,27.0,25.0,193.0,2013,
747,PI,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
748,PI,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
749,PI,Outros Tipos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013,
750,PR,Pessoa física,195.0,155.0,239.0,250.0,262.0,214.0,309.0,174.0,253.0,172.0,271.0,198.0,2692.0,2013,
751,PR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
752,PR,Segurança Privada,133.0,21.0,20.0,113.0,33.0,112.0,45.0,13.0,8.0,14.0,2.0,7.0,521.0,2013,
753,PR,Órgão Público,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,2013,
754,PR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
755,PR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2013,
756,RJ,Pessoa física,114.0,98.0,52.0,69.0,104.0,59.0,29.0,60.0,135.0,155.0,87.0,63.0,1025.0,2013,
757,RJ,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
758,RJ,Segurança Privada,5.0,69.0,30.0,79.0,0.0,17.0,14.0,165.0,8.0,2.0,25.0,7.0,421.0,2013,
759,RJ,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
760,RJ,Loja de Arma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013,
761,RJ,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
762,RN,Pessoa física,23.0,36.0,43.0,22.0,43.0,57.0,59.0,51.0,42.0,46.0,37.0,44.0,503.0,2013,
763,RN,Segurança Pública,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2013,
764,RN,Segurança Privada,1.0,0.0,6.0,7.0,0.0,5.0,18.0,0.0,0.0,23.0,0.0,14.0,74.0,2013,
765,RN,Órgão Público,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2013,
766,RN,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
767,RN,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2013,
768,RO,Pessoa física,14.0,26.0,35.0,38.0,20.0,21.0,11.0,1.0,2.0,1.0,1.0,1.0,171.0,2013,
769,RO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
770,RO,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
771,RO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
772,RO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
773,RO,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
774,RR,Pessoa física,3.0,1.0,2.0,1.0,3.0,2.0,17.0,4.0,9.0,6.0,8.0,5.0,61.0,2013,
775,RR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,89.0,25.0,126.0,0.0,0.0,0.0,0.0,240.0,2013,
776,RR,Segurança Privada,21.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,24.0,0.0,6.0,0.0,56.0,2013,
777,RR,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
778,RR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
779,RR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
780,RS,Pessoa física,167.0,152.0,210.0,200.0,211.0,179.0,213.0,269.0,191.0,310.0,266.0,220.0,2588.0,2013,
781,RS,Segurança Pública,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2013,
782,RS,Segurança Privada,4.0,0.0,14.0,46.0,3.0,3.0,20.0,0.0,12.0,20.0,0.0,0.0,122.0,2013,
783,RS,Órgão Público,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2013,
784,RS,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,
785,RS,Outros Tipos,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2013,
786,SC,Pessoa física,262.0,171.0,265.0,275.0,234.0,329.0,304.0,281.0,252.0,349.0,294.0,233.0,3249.0,2013,
787,SC,Segurança Pública,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,22.0,2013,
788,SC,Segurança Privada,12.0,0.0,4.0,16.0,2.0,0.0,1.0,4.0,2.0,22.0,9.0,0.0,72.0,2013,
